Gene
GET4
TTN
IGSF1
FHOD3
DLX4
AR
FLG
ANKRD53
CARMIL3
DCAF15
FOXD4L5
USP17L11
USP17L18
VCX
VCX
CT45A3
MT-ND4
CT45A1
RASA4B
SEC63
B3GNT3
ERICH2
FAM47A
FAM47A
MAGEC1
SETBP1
KMT2B
ANKRD6
HERC1
CNTNAP3B
MMS22L
NUTM2A
NUTM2A
SH3BP1
GRID2
C4orf54
ATRX
PTPN21
NBPF10
AGAP9
SCN5A
POLA1
NBPF8
USP17L11
RIN3
TLN2
ANKRD20A1
OR11H1
KDM6B
VCX3B
VCX3B
NBPF9
KANK1
RGPD8
IL13RA2
NPIPB5
DUX4
SMCO2
ERICH3
IQSEC2
VCX3A
ADAMTSL1
USP17L17
NBPF9
PPP1R3F
PPP1R3F
AGAP4
FOXD4L3
SHROOM2
FOXD4L5
RGPD8
FLG
ZNF418
BIRC6
KRT6C
RASA4B
GOLGA6L4
NBPF14
MUC12
NBPF10
NBPF12
GOLGA8F
HRNR
MAP3K10
ASAH2B
SPDYE16
FMN2
USF3
ARMCX4
ARMCX4
KRTAP4-7
GOLGA8B
POTEJ
ZAN
NPY4R2
MUC5AC
TMEM176A
MYO15B
USP17L4
ENO4
EPPK1
F8A1
FMN2
MTCH2
MTFR1
MUC12
NBPF20
NPY4R
OR4F17
PRAMEF27
RIMBP3B
SPATA31A7
SYT15B
UBALD2
ZNF492
NHSL2
CSMD1
HRNR
ZNF81
ZNF587
VCX3A
FNDC1
TTBK1
PCDHB16
CTAGE15
VCX2
MYPOP
MRC2
OR2A1
TRIOBP
NACA
SIGLEC11
PRAMEF6
ZNG1E
NBPF19
KMT2B
STAG2
TUBA3D
COL4A6
CYBB
KRT77
SHANK2
ULK2
BICRA
SYNPO
JMY
SCAPER
DNAH7
FGFR4
ITPR2
MMS22L
NUTM2A
RASA4
TTN
NME6
LZTS2
ARSH
STK35
ATP8B4
PNPLA7
VWF
FHOD3
PWWP4
MYO9B
TTLL3
EVL
CLEC18A
PLXNB1
PFKL
IRAK2
POM121
FLG
GAGE10
MKI67
MXRA5
FBXW10
MUC12
POTEF
NBPF9
CTAGE8
MUC5B
MUC5AC
RBMXL3
ABL2
AHNAK2
ARHGEF5
CLEC18C
FAM90A10
FMN2
FOXD4L5
HRNR
IGFN1
KRT6C
LIAT1
NOTCH2NLA
OTOL1
RIN3
SPANXD
ZNF526
UBQLN2
RTL8B
FAM47C
FAM47C
HRCT1
HEPH
WASHC2C
KDM4E
USP17L17
EPPK1
DEFB104B
PRAMEF9
C16orf78
ANKRD36C
B3GNT3
ATP1A3
SHROOM4
SPTBN4
CACNA1S
ANAPC1
RYR1
PLXND1
GPRASP2
ALPL
FMN2
COL5A2
AR
CHM
CHM
NPC1
MED13L
CDH15
EPB41
COPA
INF2
MYBPC3
USH2A
SASH1
OBSL1
TRPM4
RYR1
COL12A1
RBMX
RBMX
ANAPC1
APOA2
ASAH2B
CNTNAP3B
CUL7
DEGS2
FOXD4L4
FOXD4L5
FOXD4L5
FRG2C
GOLGA6L2
HFE
ITPKB
NBPF12
NBPF8
NPIPB11
OR2T35
PABPC3
PABPC3
PRAMEF10
TPSB2
TTC28
USH2A
ZNF880
ZNG1C
ZNG1E
TAF1B
ANKRD31
NBPF12
GOLGA6L2
EPN3
TRPA1
PRR32
PRR32
ALKBH1
OVGP1
SCGB1D1
FOXD4L4
NIM1K
KCP
MYH4
CLUH
FGR
GSTM3
DENND5B
INSC
KRT13
FRMD4A
SLC39A5
WIZ
GLI2
RAI1
LPO
COL4A6
GPRASP2
STAM
UPK3BL2
MYH4
ANKRD50
CNTNAP3B
JAK2
CNTNAP3
TSR3
GPR87
ASXL3
SYNE1
MACF1
SMARCA2
KRT6C
RGPD8
MDN1
CA13
EPPK1
FAM186A
FAM47A
FAM47A
FMN2
KRTAP10-6
KRTAP10-6
KRTAP5-10
KRTAP5-7
NXNL1
POTEM
SHROOM4
SPRR3
ASCC3
TUBAL3
TCL1A
CCDC136
GSTCD
CBLC
BMP2K
TTC28
CCT3
POTEM
JAK2
ANKRD6
USP31
OR4F17
CFHR3
SPOCK3
EEF2K
RALGAPA2
EPPK1
ADAMTSL4
ALPG
ALPG
ANKRD36
ANKRD36C
FAM86B2
FAM90A10
FBXL6
GCNT3
GOLGA6C
GOLGA8K
GRAMD4
NBPF8
NPY4R2
POLR2J
POM121C
POTEF
POTEH
PRAMEF6
RASA4
SCGB2A1
SLC9B1
SPDYE6
SPRR2B
THOC3
WASHC1
WASHC1
ZNF320
ZNG1A
NAALADL1
PDHB
FBXO5
TTLL11
PLB1
KY
ZFP2
LIG1
ATP2C2
ATP8B2
BPI
E4F1
CELF5
CNIH4
MCM8
RGPD8
TNFSF13B
RNF213
LIPM
NBPF10
AMY2B
PROZ
PALD1
FOXH1
GALNT18
ATP2C2
SFT2D2
TTN
LOXL1
IFT70A
RASA4B
TSHZ1
DST
MIGA2
PNMA6F
AFF1
IMPG2
POLR2J3
POTEF
RANBP2
MUC12
BCORL1
MUC5B
KRT6C
SLC12A6
BIRC6
RBM12B
TECTB
ZNG1E
PRAMEF9
POTEJ
TPSB2
POTEJ
CRYBB2
GOLGA6L24
